ID,Transcript,Intent,Urgency,Intent and Urgency
1,My internet is down and I've tried rebooting my router several times. Nothing's working!,Technical Issue,High,"Technical Issue ,High"
2,I'm calling to inquire about the charges on my bill this month.,Billing Inquiry,Low,"Billing Inquiry ,Low"
3,I've been experiencing intermittent connectivity issues for the past week.,Technical Issue,Medium,"Technical Issue ,Medium"
4,I'd like to upgrade my current plan to include more data.,Service Upgrade,Low,"Service Upgrade ,Low"
5,"I think I've received a faulty device from you guys, it won't turn on at all!",Product Issue,High,"Product Issue ,High"
6,I'm moving to a new house and need to transfer my service.,Service Transfer,Medium,"Service Transfer ,Medium"
7,I was overcharged this month and I need a refund as soon as possible!,Billing Issue,High,"Billing Issue ,High"
8,I'm considering canceling my service. Can you tell me about the termination fees?,Cancellation,Low,"Cancellation ,Low"
9,"My phone line is crackling, and I can barely hear the other person.",Technical Issue,Medium,"Technical Issue ,Medium"
10,I'm not sure how to set up my voicemail. Can you guide me?,Setup Assistance,Low,"Setup Assistance ,Low"
11,I accidentally deleted important emails. Can you help me recover them?,Technical Assistance,High,"Technical Assistance ,High"
12,There's a strange noise coming from my modem. It's quite alarming.,Technical Issue,Medium,"Technical Issue ,Medium"
13,I need assistance setting up parental controls for my internet.,Setup Assistance,Low,"Setup Assistance ,Low"
14,I received a damaged cable with my equipment. How can I get a replacement?,Product Issue,High,"Product Issue ,High"
15,I want to add a secondary email to my account. How can I do that?,Account Management,Low,"Account Management ,Low"
16,My TV channels are not working. Is there an outage in my area?,Technical Issue,High,"Technical Issue ,High"
17,I need clarification on the international calling rates.,Billing Inquiry,Low,"Billing Inquiry ,Low"
18,The internet speed is much slower than what I signed up for.,Service Issue,High,"Service Issue ,High"
19,I'm having trouble accessing certain websites. Can you troubleshoot this?,Technical Issue,Medium,"Technical Issue ,Medium"
20,I accidentally made a payment to the wrong account. Can you help me reverse it?,Billing Issue,High,"Billing Issue ,High"
21,I received an email about a service update. What changes are being made?,Service Update,Low,"Service Update ,Low"
22,I want to change my Wi-Fi password for security reasons. How do I do that?,Security Concern,Medium,"Security Concern ,Medium"
23,My cable box is displaying an error message. What does it mean?,Technical Issue,High,"Technical Issue ,High"
24,I need a receipt for my recent payment. Where can I find it online?,Billing Inquiry,Low,"Billing Inquiry ,Low"
25,I'm having issues with the mobile app. It's not loading properly.,Technical Issue,Medium,"Technical Issue ,Medium"
26,Can you recommend a plan that better suits my current usage patterns?,Service Recommendation,Low,"Service Recommendation ,Low"
27,I'm relocating temporarily. Can I suspend my service during this period?,Service Suspension,Medium,"Service Suspension ,Medium"
28,The on-demand movies are not playing. Is there a problem with the streaming service?,Technical Issue,High,"Technical Issue ,High"
29,I want to change the billing address on my account. How can I update it?,Account Management,Low,"Account Management ,Low"
30,My internet connection drops randomly throughout the day. It's affecting my work.,Technical Issue,High,"Technical Issue ,High"
31,I'm unable to log in to my online account. Is there a system issue?,Technical Issue,Medium,"Technical Issue ,Medium"
32,I need to change the date for my scheduled technician visit. How can I do that?,Appointment Change,High,"Appointment Change ,High"
33,I need assistance with setting up a virtual private network (VPN).,Setup Assistance,Low,"Setup Assistance ,Low"
34,The customer service representative was rude during my last call. I want to file a complaint.,Customer Service Complaint,High,"Customer Service Complaint ,High"
35,I accidentally subscribed to a premium channel. Can you help me cancel it?,Subscription Cancelation,Medium,"Subscription Cancelation ,Medium"
36,I want to add a data boost to my plan. How can I do that online?,Service Upgrade,Low,"Service Upgrade ,Low"
37,My remote control is not responding. Do I need a replacement?,Product Issue,Medium,"Product Issue ,Medium"
38,I need to update the contact information associated with my account.,Account Management,Low,"Account Management ,Low"
39,I received a promotional offer in the mail. How can I redeem it?,Promotion Inquiry,Low,"Promotion Inquiry ,Low"
40,I'm experiencing slow download speeds specifically during peak hours.,Service Issue,High,"Service Issue ,High"
41,I want to downgrade my plan to save on costs. What are the available options?,Service Downgrade,Low,"Service Downgrade ,Low"
42,I'm having trouble connecting my smart home devices to the Wi-Fi network.,Technical Issue,Medium,"Technical Issue ,Medium"
43,I need a copy of my service agreement for my records. Where can I find it online?,Documentation Request,Low,"Documentation Request ,Low"
44,I want to enroll in paperless billing. How can I make that change?,Billing Preference,Low,"Billing Preference ,Low"
45,My landline phone is not working. What steps should I take to troubleshoot it?,Technical Issue,High,"Technical Issue ,High"
46,I received a message about a data breach. Can you provide more information?,Security Concern,High,"Security Concern ,High"
47,I'm interested in adding a TV package with additional channels. What are my options?,Service Upgrade,Low,"Service Upgrade ,Low"
48,"My internet speed is inconsistent. Sometimes it's fast, and other times it's slow.",Service Issue,Medium,"Service Issue ,Medium"
49,I want to set up automatic payments for my monthly bills. How can I do that?,Billing Setup,Low,"Billing Setup ,Low"
50,I accidentally disconnected my own service. Can you help me reconnect it?,Self-Disconnection,High,"Self-Disconnection ,High"
51,I'm having issues with my cable signal. The screen keeps freezing.,Technical Issue,High,"Technical Issue ,High"
52,I received a text about a network upgrade. Can you provide more details?,Service Update,Low,"Service Update ,Low"
53,I want to add a second phone line to my account. How can I do that?,Service Upgrade,Low,"Service Upgrade ,Low"
54,"My internet connection is extremely slow, making it impossible to work from home.",Technical Issue,High,"Technical Issue ,High"
55,I need help setting up my new email account on my phone.,Setup Assistance,Medium,"Setup Assistance ,Medium"
56,I accidentally canceled a scheduled technician visit. Can you reschedule it for me?,Appointment Reschedule,High,"Appointment Reschedule ,High"
57,I want to dispute a charge on my bill. How can I initiate the process?,Billing Dispute,High,"Billing Dispute ,High"
58,I'm getting an error message on my TV screen. What should I do to fix it?,Technical Issue,Medium,"Technical Issue ,Medium"
59,I want to change my subscription plan. What are the available options?,Service Change,Low,"Service Change ,Low"
60,I'm moving out of the country and need to cancel my service. What's the process?,Service Cancellation,High,"Service Cancellation ,High"
61,"I received a replacement device, but it's not working properly. What should I do?",Product Issue,High,"Product Issue ,High"
62,I want to upgrade my internet speed. Can you provide information on available plans?,Service Upgrade,Low,"Service Upgrade ,Low"
63,I accidentally made a double payment. How can I get a refund for the extra amount?,Billing Issue,High,"Billing Issue ,High"
64,"My TV remote is missing, and I need a replacement. How can I order one?",Product Issue,Medium,"Product Issue ,Medium"
65,I need help connecting my smart TV to the Wi-Fi network.,Setup Assistance,Medium,"Setup Assistance ,Medium"
66,I want to add a data cap to my internet plan. Is that possible?,Service Modification,Low,"Service Modification ,Low"
67,"My cable service is down, and I'm missing an important live event. Urgent help needed!",Technical Issue,High,"Technical Issue ,High"
68,I want to change the primary contact on my account. How can I update it?,Account Management,Low,"Account Management ,Low"
69,I received a promotional offer but can't find the terms and conditions. Can you help?,Promotion Inquiry,Low,"Promotion Inquiry ,Low"
70,"My internet is working, but the Wi-Fi signal is weak in certain areas of my house.",Technical Issue,Medium,"Technical Issue ,Medium"
71,I need assistance configuring my email on multiple devices.,Setup Assistance,Medium,"Setup Assistance ,Medium"
72,I want to add a TV package for sports channels. What options are available?,Service Upgrade,Low,"Service Upgrade ,Low"
73,My service was mistakenly suspended. How can I get it reactivated quickly?,Service Reconnection,High,"Service Reconnection ,High"
74,I'm experiencing lag while playing online games. Can you optimize my connection?,Technical Issue,High,"Technical Issue ,High"
75,I want to customize my TV channel lineup. How can I choose specific channels?,Service Customization,Low,"Service Customization ,Low"
76,I'm having trouble logging in to the mobile app. Can you assist with account access?,Technical Issue,Medium,"Technical Issue ,Medium"
77,I received a letter about a change in billing terms. Can you explain the updates?,Billing Inquiry,Low,"Billing Inquiry ,Low"
78,I want to enroll in a protection plan for my devices. How can I do that?,Service Protection,Low,"Service Protection ,Low"
79,My on-demand movies are not loading. Is there an issue with the streaming service?,Technical Issue,High,"Technical Issue ,High"
80,I need a technician to install additional cable outlets in my new home.,Service Installation,High,"Service Installation ,High"
81,I want to add a temporary suspension to my service while I'm on vacation.,Service Suspension,Medium,"Service Suspension ,Medium"
82,"My internet is frequently disconnecting, causing disruptions in my work.",Technical Issue,High,"Technical Issue ,High"
83,"I received a new router, but the setup instructions are unclear. Can you guide me?",Setup Assistance,Medium,"Setup Assistance ,Medium"
84,I'm experiencing interference on my landline. How can I resolve this issue?,Technical Issue,Medium,"Technical Issue ,Medium"
85,I want to upgrade my TV package to include premium movie channels.,Service Upgrade,Low,"Service Upgrade ,Low"
86,I need to update my credit card information for automatic billing. How can I do that?,Billing Update,Low,"Billing Update ,Low"
87,I want to change my billing cycle to align with my payday. Is that possible?,Billing Modification,Low,"Billing Modification ,Low"
88,I received a text message about a data breach. What precautions should I take?,Security Concern,High,"Security Concern ,High"
89,I want to switch to a paperless billing system. How can I make that change?,Billing Preference,Low,"Billing Preference ,Low"
90,My TV screen is displaying a blank blue screen. What should I do to fix it?,Technical Issue,High,"Technical Issue ,High"
91,I'm having trouble accessing my voicemail. Can you help me reset my voicemail password?,Password Reset,Medium,"Password Reset ,Medium"
